id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280187441,1407452428.08,0.138660934306,0.000439312527457,(0.649625701534+0j),(0.33956323773-0.350842451494j),(0.00272981674848+0.190882114281j),(-0.362573196371-0.414355009067j),(0.000129877983967+0j),(2.09228096107e-05-2.23497683737e-06j),(9.811421494e-06-7.77092433189e-06j),(1.49066918166e-05+1.41221903845e-06j),(2.09228096107e-05+2.23497683737e-06j),(0.000144484965789+0j),(1.32149417023e-05-1.01826350689e-05j),(-2.28048680776e-06-8.37942242669e-06j),(9.811421494e-06+7.77092433189e-06j),(1.32149417023e-05+1.01826350689e-05j),(5.42436147837e-05+0j),(1.2667243637e-05+5.26158057269e-07j),(1.49066918166e-05-1.41221903845e-06j),(-2.28048680776e-06+8.37942242669e-06j),(1.2667243637e-05-5.26158057269e-07j),(0.000110705962917+0j)
280187442,1407452430.22,0.138855692522,0.000477709949191,(-0.648510433583+0j),(-0.345823563318+0.350522914596j),(-0.00670438170868-0.193789604286j),(0.367788646261+0.405100134719j),(0.000145860331532+0j),(1.47780959344e-05+9.72958320576e-06j),(1.53264316542e-05-3.39213328639e-06j),(3.21178220997e-05+7.15999098851e-06j),(1.47780959344e-05-9.72958320576e-06j),(0.000135173660399+0j),(4.25047812511e-06-1.93120562207e-05j),(-2.68952019036e-06-1.7560517502e-05j),(1.53264316542e-05+3.39213328639e-06j),(4.25047812511e-06+1.93120562207e-05j),(7.28477320029e-05+0j),(1.21446236203e-05-1.21983386363e-05j),(3.21178220997e-05-7.15999098851e-06j),(-2.68952019036e-06+1.7560517502e-05j),(1.21446236203e-05+1.21983386363e-05j),(0.000123828225257+0j)
280187443,1407452432.37,0.134563957057,0.00045632170434,(0.649633121849+0j),(0.343993325296-0.348901463659j),(0.00837835628377+0.192433997205j),(-0.363436108493-0.410763098043j),(0.000152935658365+0j),(2.02813541997e-05+1.47123272346e-05j),(2.46256527029e-06-6.31074329203e-06j),(7.50092596567e-06+1.12584766252e-06j),(2.02813541997e-05-1.47123272346e-05j),(0.000129642444404+0j),(9.54559523406e-06-7.004993688e-06j),(1.22348668693e-05-9.02154133207e-06j),(2.46256527029e-06+6.31074329203e-06j),(9.54559523406e-06+7.004993688e-06j),(7.35342445487e-05+0j),(1.03506114213e-05-3.27472052124e-06j),(7.50092596567e-06-1.12584766252e-06j),(1.22348668693e-05+9.02154133207e-06j),(1.03506114213e-05+3.27472052124e-06j),(0.000100209357022+0j)
280187444,1407452434.52,0.135133916407,0.000484789710523,(-0.644444102219+0j),(-0.348248775997+0.354469069061j),(-0.00554929775717-0.192033522995j),(0.366863895839+0.407761549782j),(0.000130050776378+0j),(7.46796815872e-06+1.12474923501e-05j),(5.7859455182e-06-1.30919085224e-05j),(1.66288277316e-05-1.22757725835e-05j),(7.46796815872e-06-1.12474923501e-05j),(0.000141379603347+0j),(1.11123233665e-05-2.29530701214e-05j),(-2.01068578707e-06-8.04932541828e-06j),(5.7859455182e-06+1.30919085224e-05j),(1.11123233665e-05+2.29530701214e-05j),(5.99953029554e-05+0j),(1.13592088869e-05-1.28095892545e-05j),(1.66288277316e-05+1.22757725835e-05j),(-2.01068578707e-06+8.04932541828e-06j),(1.13592088869e-05+1.28095892545e-05j),(0.000153364027842+0j)
280187383,1407452468.88,0.159323762066,0.000450133643497,(0.643067216116+0j),(0.33857527917-0.363004862908j),(-0.000772964325831+0.187666401935j),(-0.371698782757-0.408264062102j),(0.000121475527576+0j),(1.12846697778e-05+2.87771487592e-06j),(2.5174896333e-06-6.75888172037e-06j),(2.83637661297e-05-3.13068453703e-05j),(1.12846697778e-05-2.87771487592e-06j),(0.000120556659313+0j),(1.27257784199e-05-2.11580133748e-05j),(2.70667198912e-05-1.81088926366e-05j),(2.5174896333e-06+6.75888172037e-06j),(1.27257784199e-05+2.11580133748e-05j),(6.91931290562e-05+0j),(1.27361766276e-05+1.51550858921e-06j),(2.83637661297e-05+3.13068453703e-05j),(2.70667198912e-05+1.81088926366e-05j),(1.27361766276e-05-1.51550858921e-06j),(0.000138908327553+0j)
280187384,1407452471.04,0.158647909084,0.000422274850287,(0.644770135521+0j),(0.340251102856-0.359006404959j),(-0.00225898370082+0.188644307699j),(-0.371654981056-0.407303152167j),(0.000117531249144+0j),(-1.35652601414e-05+1.65532628326e-06j),(2.17198207674e-05+3.11047843581e-06j),(1.78003211962e-05+9.32745194578e-08j),(-1.35652601414e-05-1.65532628326e-06j),(0.000125200708742+0j),(-3.38348405805e-06-7.2382071049e-06j),(1.03851276937e-05-1.01058605207e-05j),(2.17198207674e-05-3.11047843581e-06j),(-3.38348405805e-06+7.2382071049e-06j),(5.67767508732e-05+0j),(1.56157938753e-05-4.43486840359e-06j),(1.78003211962e-05-9.32745194578e-08j),(1.03851276937e-05+1.01058605207e-05j),(1.56157938753e-05+4.43486840359e-06j),(0.000122766141528+0j)
280187385,1407452473.17,0.159769031134,0.000449588330618,(-0.642155146777+0j),(-0.337274609763+0.348906409839j),(-0.000794667930554-0.186496319171j),(0.374557203817+0.420799613543j),(0.000122532569529+0j),(1.99148769497e-05+2.03798848091e-05j),(7.63237583885e-06+4.3546142981e-06j),(1.04109638695e-05-1.76958957849e-05j),(1.99148769497e-05-2.03798848091e-05j),(0.00013370993788+0j),(-5.93258729503e-06-1.57024699426e-05j),(-9.69195502924e-06-2.43809640941e-05j),(7.63237583885e-06-4.3546142981e-06j),(-5.93258729503e-06+1.57024699426e-05j),(7.22138990247e-05+0j),(2.43573782558e-05+3.87374033822e-06j),(1.04109638695e-05+1.76958957849e-05j),(-9.69195502924e-06+2.43809640941e-05j),(2.43573782558e-05-3.87374033822e-06j),(0.000121131924185+0j)
280187386,1407452475.32,0.152960898368,0.00046518312949,(-0.643366903128+0j),(-0.341761939806+0.35291625403j),(-0.00296715974619-0.187268978662j),(0.371550930297+0.414245523683j),(0.000140071925565+0j),(-9.30813164132e-07-1.18765406893e-06j),(8.31012225585e-06-1.93373096088e-06j),(-4.33854360007e-06-6.22176696764e-06j),(-9.30813164132e-07+1.18765406893e-06j),(0.000119423645268+0j),(-2.48926722636e-06-1.05009156266e-05j),(1.22478849101e-05-1.16411432738e-05j),(8.31012225585e-06+1.93373096088e-06j),(-2.48926722636e-06+1.05009156266e-05j),(6.59117646904e-05+0j),(6.09495884279e-06-1.67887526839e-06j),(-4.33854360007e-06+6.22176696764e-06j),(1.22478849101e-05+1.16411432738e-05j),(6.09495884279e-06+1.67887526839e-06j),(0.000139775793966+0j)
280187387,1407452507.56,0.150148675256,0.000445071138384,(0.643993143972+0j),(0.345911225016-0.345477613684j),(-0.00128656234344+0.184319250563j),(-0.377472005306-0.412071737938j),(0.000138628114387+0j),(1.63134578378e-05+9.05722176563e-06j),(3.20267500382e-05+4.40413679431e-06j),(2.85450968001e-05-8.73331941665e-06j),(1.63134578378e-05-9.05722176563e-06j),(0.000105933668244+0j),(1.20091214999e-05-7.65547501077e-06j),(2.05584724097e-06-2.10641144562e-05j),(3.20267500382e-05-4.40413679431e-06j),(1.20091214999e-05+7.65547501077e-06j),(7.02573304121e-05+0j),(1.22470088522e-05-1.23228289774e-05j),(2.85450968001e-05+8.73331941665e-06j),(2.05584724097e-06+2.10641144562e-05j),(1.22470088522e-05+1.23228289774e-05j),(0.000130252025342+0j)
280187388,1407452509.69,0.153937196488,0.000476830975,(0.645083905803+0j),(0.345263994165-0.344874346245j),(-0.00455541158856+0.181993596994j),(-0.375377631786-0.414331300461j),(0.000141337331857+0j),(1.92376266996e-05+4.58312059373e-07j),(-3.75368687295e-06-5.15054006581e-07j),(3.60914153927e-05-4.3023824379e-06j),(1.92376266996e-05-4.58312059373e-07j),(0.000140437928431+0j),(-1.17957974031e-06-8.54473259483e-06j),(3.00515794406e-06-1.63357467323e-05j),(-3.75368687295e-06+5.15054006581e-07j),(-1.17957974031e-06+8.54473259483e-06j),(7.13099925678e-05+0j),(9.39333270877e-06-1.54781765226e-05j),(3.60914153927e-05+4.3023824379e-06j),(3.00515794406e-06+1.63357467323e-05j),(9.39333270877e-06+1.54781765226e-05j),(0.000123745722145+0j)
280187389,1407452511.84,0.150858195841,0.000498413028011,(-0.644518659031+0j),(-0.34289845141+0.341324361382j),(0.00431475594192-0.187256973451j),(0.373632633561+0.419319561221j),(0.000138446788857+0j),(1.86519675029e-05+1.7079092883e-05j),(1.57902209342e-05-8.45399702298e-06j),(2.26085629307e-05+5.78138976784e-06j),(1.86519675029e-05-1.7079092883e-05j),(0.000148339969184+0j),(4.08720795654e-06-5.28227778527e-06j),(1.39731383392e-05-3.10642569034e-06j),(1.57902209342e-05+8.45399702298e-06j),(4.08720795654e-06+5.28227778527e-06j),(6.87763602751e-05+0j),(1.18404090504e-05+4.19788998245e-06j),(2.26085629307e-05-5.78138976784e-06j),(1.39731383392e-05+3.10642569034e-06j),(1.18404090504e-05-4.19788998245e-06j),(0.000142849909695+0j)
280187390,1407452513.99,0.151655188888,0.000452241157853,(0.641292706047+0j),(0.349220230733-0.34535358355j),(0.000137729453149+0.192716491783j),(-0.377817261674-0.409431617676j),(0.000130478576281+0j),(9.64179541725e-06+1.67010157105e-05j),(9.26890088198e-06-4.53552557033e-06j),(6.03968617334e-06-2.86203016597e-06j),(9.64179541725e-06-1.67010157105e-05j),(0.000142415053462+0j),(2.96857138677e-06-6.45426749753e-06j),(2.00197112653e-05-1.27869926528e-05j),(9.26890088198e-06+4.53552557033e-06j),(2.96857138677e-06+6.45426749753e-06j),(6.63086137908e-05+0j),(1.22189033047e-05+1.49817999954e-05j),(6.03968617334e-06+2.86203016597e-06j),(2.00197112653e-05+1.27869926528e-05j),(1.22189033047e-05-1.49817999954e-05j),(0.00011303891432+0j)
280187391,1407452516.14,0.153256704191,0.000455788390785,(-0.643854150961+0j),(-0.342050414509+0.349536799685j),(0.00307829047077-0.191770755586j),(0.382234441584+0.404213687284j),(0.000143593098161+0j),(-6.28055648082e-06+1.44111774031e-05j),(2.10785982249e-05+6.86169623215e-06j),(2.73825436182e-05+7.80115779272e-06j),(-6.28055648082e-06-1.44111774031e-05j),(0.000121808311187+0j),(-4.4901336931e-06-8.78025190945e-06j),(-6.02385984132e-06-1.62206247406e-05j),(2.10785982249e-05-6.86169623215e-06j),(-4.4901336931e-06+8.78025190945e-06j),(5.74848170556e-05+0j),(1.02592355001e-05+4.24684576844e-06j),(2.73825436182e-05-7.80115779272e-06j),(-6.02385984132e-06+1.62206247406e-05j),(1.02592355001e-05-4.24684576844e-06j),(0.000132902164382+0j)
280204284,1407452548.36,0.154551321547,0.000473625539861,(0.646477032179+0j),(0.338504798857-0.357981287335j),(0.00352922894747+0.18518742426j),(-0.380318784593-0.400477378211j),(0.000139049133044+0j),(-1.32345251215e-05-1.30291670567e-06j),(7.61269255355e-06+7.26646291803e-07j),(2.85215549643e-05-1.31225586889e-05j),(-1.32345251215e-05+1.30291670567e-06j),(0.000137945347509+0j),(-1.83822221349e-06-1.28248598771e-05j),(-1.4857138129e-05-2.64142782438e-05j),(7.61269255355e-06-7.26646291803e-07j),(-1.83822221349e-06+1.28248598771e-05j),(6.75029590481e-05+0j),(1.48690902911e-05-8.88726205949e-06j),(2.85215549643e-05+1.31225586889e-05j),(-1.4857138129e-05+2.64142782438e-05j),(1.48690902911e-05+8.88726205949e-06j),(0.00012912810026+0j)
280204285,1407452550.52,0.151212107586,0.00044583020721,(-0.640918131435+0j),(-0.350518036079+0.352353851826j),(0.00176455439103-0.182723318255j),(0.374011409216+0.411013818957j),(0.000123827759027+0j),(8.94139175516e-08-9.45026334906e-06j),(-5.29720146121e-07-2.09961790132e-06j),(2.15885553384e-05-4.16163312756e-06j),(8.94139175516e-08+9.45026334906e-06j),(0.000121458181775+0j),(1.0061808499e-06-2.07735458954e-05j),(1.8597891126e-06-5.16754511755e-06j),(-5.29720146121e-07+2.09961790132e-06j),(1.0061808499e-06+2.07735458954e-05j),(7.16971335858e-05+0j),(9.86359666961e-06-1.89406304701e-06j),(2.15885553384e-05+4.16163312756e-06j),(1.8597891126e-06+5.16754511755e-06j),(9.86359666961e-06+1.89406304701e-06j),(0.000128847132822+0j)
280204286,1407452552.67,0.151404347392,0.000490366226081,(-0.646036411696+0j),(-0.341663180422+0.354640049695j),(0.00243213883172-0.182230252241j),(0.380096221586+0.40304682515j),(0.000140984819199+0j),(4.8627218371e-06-4.31649255149e-06j),(7.52972854861e-06+8.07775860847e-06j),(1.08166340391e-05-1.26919875398e-05j),(4.8627218371e-06+4.31649255149e-06j),(0.000129105478924+0j),(5.61831781528e-06-4.14074879998e-06j),(-1.48892164541e-05+1.34552442366e-05j),(7.52972854861e-06-8.07775860847e-06j),(5.61831781528e-06+4.14074879998e-06j),(7.36055365515e-05+0j),(4.02665440391e-06-1.61386869511e-05j),(1.08166340391e-05+1.26919875398e-05j),(-1.48892164541e-05-1.34552442366e-05j),(4.02665440391e-06+1.61386869511e-05j),(0.000146670391406+0j)
280204287,1407452554.8,0.151732724949,0.000441283825302,(-0.645208514352+0j),(-0.340256756706+0.351149928509j),(0.00287011630037-0.189229692766j),(0.370919500113+0.413796629368j),(0.00011187382704+0j),(1.35626425262e-05+1.34275966816e-05j),(1.18154956634e-05-3.71405207007e-06j),(2.22431396746e-05-1.10201279288e-05j),(1.35626425262e-05-1.34275966816e-05j),(0.00013326562128+0j),(6.1095588377e-06-1.18610544065e-05j),(7.92000200498e-06+5.95127245157e-07j),(1.18154956634e-05+3.71405207007e-06j),(6.1095588377e-06+1.18610544065e-05j),(7.29864521312e-05+0j),(1.76065874277e-06-9.30767455968e-07j),(2.22431396746e-05+1.10201279288e-05j),(7.92000200498e-06-5.95127245157e-07j),(1.76065874277e-06+9.30767455968e-07j),(0.000123157924851+0j)
280204288,1407452556.96,0.150047629228,0.000465127936156,(0.649029106858+0j),(0.330796460837-0.374251976527j),(-0.00594480717563+0.18639457697j),(-0.371028128902-0.396017962372j),(0.000147367864507+0j),(9.04926562292e-06+6.51405035255e-08j),(1.15616201328e-05+1.60334498915e-05j),(2.03984908363e-05-3.70033298635e-06j),(9.04926562292e-06-6.51405035255e-08j),(0.000113355426653+0j),(-6.01249561326e-06-8.11584786313e-06j),(7.2456662751e-06-1.50196806273e-05j),(1.15616201328e-05-1.60334498915e-05j),(-6.01249561326e-06+8.11584786313e-06j),(7.89422336805e-05+0j),(1.30112424081e-05+3.99480434455e-07j),(2.03984908363e-05+3.70033298635e-06j),(7.2456662751e-06+1.50196806273e-05j),(1.30112424081e-05-3.99480434455e-07j),(0.000125462411315+0j)
280204223,1407452589.19,0.147935360414,0.000439999475112,(-0.641083777578+0j),(-0.334783354428+0.365797893242j),(0.0018033236511-0.195335931047j),(0.374455887216+0.405890388674j),(0.000132156098675+0j),(4.73887028875e-06+1.94162725789e-06j),(3.07018558737e-06-2.1394935661e-06j),(3.78642252963e-06+1.37066692049e-05j),(4.73887028875e-06-1.94162725789e-06j),(0.000128042832864+0j),(-1.30157546177e-05-1.86378242831e-05j),(9.3766353127e-06+1.45634114682e-06j),(3.07018558737e-06+2.1394935661e-06j),(-1.30157546177e-05+1.86378242831e-05j),(6.37913372385e-05+0j),(6.48310795307e-06-6.20437767457e-07j),(3.78642252963e-06-1.37066692049e-05j),(9.3766353127e-06-1.45634114682e-06j),(6.48310795307e-06+6.20437767457e-07j),(0.000116009206334+0j)
