site_id,id,bearing,sv1,sv2,sv3,sv4
1,4895,0.0,(0.465555335192+0j),(0.552427338307+0.0717852133326j),(0.0588272518475+0.431560112782j),(-0.418575090332+0.328662845727j)
1,4896,1.0,(0.469085448076-8.32667268469e-17j),(0.549853706814+0.0421528674436j),(0.063759373637+0.438002079692j),(-0.394489487584+0.352576011546j)
1,4897,2.0,(0.472909748991+0j),(0.545647903568+0.012990666517j),(0.0684093161568+0.444343401193j),(-0.369308742293+0.374093754785j)
1,4898,3.0,(0.477011308017-5.55111512313e-17j),(0.539873786217-0.0156099486225j),(0.0726752718665+0.450585480686j),(-0.343269920773+0.393204307492j)
1,4899,4.0,(0.481371470247+2.77555756156e-17j),(0.53259988005-0.04356500023j),(0.0765302076684+0.456721971833j),(-0.316675275982+0.409860834307j)
1,4900,5.0,(0.48597138886+2.77555756156e-17j),(0.523888437056-0.0708899949043j),(0.0800294148661+0.462730332922j),(-0.289604901284+0.424207798434j)
1,4901,6.0,(0.490788766271+0j),(0.51385525427-0.0972443269539j),(0.0829073440513+0.468645864718j),(-0.262487639454+0.436142603234j)
1,4902,7.0,(0.495802363061+6.93889390391e-17j),(0.502522758774-0.122930466733j),(0.0852983141702+0.474432895248j),(-0.23537589547+0.445841684216j)
1,4903,8.0,(0.500988430058+6.93889390391e-17j),(0.490025409017-0.14763208306j),(0.087263867874+0.480069410701j),(-0.208369389283+0.453421476554j)
1,4904,9.0,(0.506322318681-5.55111512313e-17j),(0.476430288837-0.171395654184j),(0.0884457213532+0.48560793237j),(-0.181794063571+0.458899365936j)
1,4905,10.0,(0.511781333609-8.32667268469e-17j),(0.461821922106-0.194190420246j),(0.0889867428577+0.491009365884j),(-0.155721629429+0.462420150788j)
1,4906,11.0,(0.517340335501-5.55111512313e-17j),(0.446281303392-0.215993012524j),(0.0887795747376+0.49628097552j),(-0.130449029862+0.464053256751j)
1,4907,12.0,(0.52297579434-7.6327832943e-17j),(0.429849466831-0.236860821924j),(0.0880636816243+0.501363061265j),(-0.10569255134+0.464038423847j)
1,4908,13.0,(0.52866292272+4.16333634234e-17j),(0.412727446089-0.256562362858j),(0.0864742658203+0.506305694666j),(-0.0818777335909+0.462406860884j)
1,4909,14.0,(0.534378649905-8.32667268469e-17j),(0.394816197272-0.275388203705j),(0.0841687919162+0.511062372303j),(-0.0589316969527+0.459324381385j)
1,4910,15.0,(0.540099412645+2.77555756156e-17j),(0.376319337819-0.29312718052j),(0.0811334658099+0.515617325799j),(-0.036929946894+0.45491224381j)
1,4911,16.0,(0.545802521142+9.19403442268e-17j),(0.357254843546-0.309859012219j),(0.0772666883965+0.519966290607j),(-0.015934397222+0.449296102483j)
1,4912,17.0,(0.551467100678+4.33680868994e-17j),(0.337680880266-0.325596039133j),(0.0726497220374+0.524074248194j),(0.00400801628212+0.442600288462j)
1,4913,18.0,(0.557071881324-2.51534904017e-17j),(0.317649518768-0.340353571087j),(0.0672747401989+0.527919010587j),(0.0229380145491+0.434946690978j)
1,4914,19.0,(0.562597762697+2.42861286637e-17j),(0.297328837687-0.354043567967j),(0.0611396115766+0.531477452101j),(0.0408283214642+0.426449511245j)
1,4915,20.0,(0.568025384528+3.46944695195e-18j),(0.276516702189-0.366898514343j),(0.0543361416749+0.534715369922j),(0.0577356193638+0.417210751598j)
1,4916,21.0,(0.573339039713+4.85722573274e-17j),(0.25556177903-0.378688675331j),(0.0466800601328+0.537625772701j),(0.0735073116005+0.407359283031j)
1,4917,22.0,(0.578520931589-8.32667268469e-17j),(0.234307057047-0.389584876556j),(0.0383623785635+0.540164553794j),(0.0883602463612+0.396963988655j)
1,4918,23.0,(0.583557032489-7.6327832943e-17j),(0.212912728786-0.399525583701j),(0.0293921788872+0.542306319865j),(0.102228420923+0.386132066698j)
1,4919,24.0,(0.588434338078-9.71445146547e-17j),(0.19133651597-0.408574415712j),(0.0196855197146+0.544029779408j),(0.115128408258+0.374955788455j)
1,4920,25.0,(0.593141522021-1.17961196366e-16j),(0.169667470469-0.416717869601j),(0.00935019777975+0.545302692596j),(0.127082597242+0.363524225055j)
1,4921,26.0,(0.597669290053-5.55111512313e-17j),(0.147925662421-0.423978834788j),(-0.00159794487749+0.546098157599j),(0.13812068794+0.351920857834j)
1,4922,27.0,(0.602007847643-4.16333634234e-17j),(0.126277082846-0.430333834883j),(-0.0130452200651+0.546392570939j),(0.148337723793+0.340197502393j)
1,4923,28.0,(0.60615073467+5.55111512313e-17j),(0.104437645007-0.435891117845j),(-0.0249699952108+0.546165672688j),(0.15776890181+0.328422790753j)
1,4924,29.0,(0.610093055126-2.77555756156e-17j),(0.0828755287232-0.440552832048j),(-0.0375406993058+0.545384609906j),(0.166396603163+0.316685659021j)
1,4925,30.0,(0.613830925544+1.11022302463e-16j),(0.0613020114007-0.444411590362j),(-0.0504469889738+0.544042936741j),(0.174270530238+0.305047804734j)
1,4926,31.0,(0.617362285232+9.71445146547e-17j),(0.0398080286379-0.447463605395j),(-0.0637582701522+0.542118228605j),(0.181491264257+0.293528672664j)
1,4927,32.0,(0.620686009244+1.11022302463e-16j),(0.0184073026447-0.449719766192j),(-0.0773511930165+0.539604308327j),(0.188107105717+0.282173494835j)
1,4928,33.0,(0.623802755901+1.38777878078e-17j),(-0.00280496799531-0.451189379624j),(-0.0912934151507+0.536475760073j),(0.194069154049+0.271084548158j)
1,4929,34.0,(0.62671543528-2.77555756156e-17j),(-0.0237319460954-0.451894041843j),(-0.105461306058+0.532731994793j),(0.199437464699+0.260298991904j)
1,4930,35.0,(0.629425582156+6.93889390391e-17j),(-0.0445911107976-0.45183718126j),(-0.119733504026+0.528386793212j),(0.204313680471+0.24981079989j)
1,4931,36.0,(0.6319388863-8.32667268469e-17j),(-0.0651270395268-0.451048591187j),(-0.134263625824+0.523390262238j),(0.208706049564+0.239675985746j)
1,4932,37.0,(0.63425943996+1.11022302463e-16j),(-0.0853978828691-0.44954044378j),(-0.148839278038+0.517779188522j),(0.212627991538+0.229948847117j)
1,4933,38.0,(0.636393738336-2.77555756156e-17j),(-0.105382725715-0.447327982389j),(-0.163520869416+0.511525056888j),(0.216136361688+0.220642882723j)
1,4934,39.0,(0.638348062035+1.2490009027e-16j),(-0.125137044018-0.444409001681j),(-0.178099998088+0.504682326954j),(0.219281323646+0.211766266855j)
1,4935,40.0,(0.640128716862+1.38777878078e-17j),(-0.144559775755-0.440816460693j),(-0.192725319735+0.497193198509j),(0.222041891826+0.203400633796j)
1,4936,41.0,(0.641744216514+1.2490009027e-16j),(-0.163628850047-0.436571867175j),(-0.207279620561+0.489086649035j),(0.22446735845+0.195547381526j)
1,4937,42.0,(0.643200856538+5.55111512313e-17j),(-0.182398186531-0.431666822655j),(-0.221564572366+0.480441751799j),(0.226639232047+0.188167042322j)
1,4938,43.0,(0.644506892734-5.55111512313e-17j),(-0.200843010941-0.426115091042j),(-0.235726748236+0.471193270914j),(0.228562859024+0.181294513007j)
1,4939,44.0,(0.645670597061-5.55111512313e-17j),(-0.218867265895-0.419971967496j),(-0.249734939341+0.461342448154j),(0.230215561329+0.175004421241j)
1,4940,45.0,(0.646698096522+2.77555756156e-17j),(-0.23652338785-0.413224394076j),(-0.263561775097+0.450892909224j),(0.231606490086+0.169331237414j)
1,4941,46.0,(0.647595898797-8.32667268469e-17j),(-0.253861589942-0.405850329913j),(-0.276946312453+0.439992678059j),(0.232856755914+0.164147096293j)
1,4942,47.0,(0.648372173777-5.55111512313e-17j),(-0.270786773656-0.397910575467j),(-0.290099503416+0.428512604634j),(0.233907185316+0.15956777827j)
1,4943,48.0,(0.649032090874+5.55111512313e-17j),(-0.28728208894-0.389429191522j),(-0.302919780514+0.416510376459j),(0.234757057082+0.155624831587j)
1,4944,49.0,(0.649580277533-1.38777878078e-16j),(-0.30339468092-0.380380791672j),(-0.315383402983+0.403996740858j),(0.235484289667+0.152232308581j)
1,4945,50.0,(0.650023405143-2.77555756156e-17j),(-0.319105079501-0.370782218145j),(-0.327397134747+0.391039575582j),(0.236054040199+0.149464792857j)
1,4946,51.0,(0.650362359375-8.32667268469e-17j),(-0.334268518032-0.360772458013j),(-0.339077245121+0.377540818524j),(0.236481583531+0.147318042822j)
1,4947,52.0,(0.650603560568-8.32667268469e-17j),(-0.349060794692-0.350205742873j),(-0.350264800911+0.363626861862j),(0.236777629232+0.145787294078j)
1,4948,53.0,(0.650746858465+1.38777878078e-16j),(-0.363460627304-0.339096547904j),(-0.360944101013+0.349319113583j),(0.23697780987+0.144829072551j)
1,4949,54.0,(0.650794584346-5.55111512313e-17j),(-0.377332695346-0.327592371936j),(-0.371216775941+0.334506846549j),(0.23703557387+0.144523684737j)
1,4950,55.0,(0.650746858465+1.38777878078e-16j),(-0.39077972591-0.315587853043j),(-0.380940951087+0.319333819357j),(0.23697780987+0.144829072551j)
